id,title,type,team,team-names,team-images,partners,partner-name,partner-description,partner-image,mission,actions,date-debut,duree,reference-link,docs_catalog,research_projects
tableaux-issy,Construction de tableaux de bord,Standards,"etienne-pichot-damon,samuel-goeta","Etienne Pichot Damon, Samuel Goëta","/images/authors/etienne-pichot-damon.jpeg, /images/authors/samuel-goeta.jpeg",issy-moulineaux,Ville d'Issy-les-Moulineaux,"Ville pionnière en France en matière d’open data, Issy-les-Moulineaux a ouvert un portail en 2012, et l’alimente régulièrement en nouvelles données",/images/partners/issy-moulineaux.png,"Datactivist a accompagné la collectivité dans la préparation de ses données pour réaliser des tableaux de bord partagés. 

Dans la plupart des administrations, les différents services maintiennent des tableaux de suivis de leur activité. Problème : ces tableaux sont dans des formats différents selon les services. Chaque année, les indicateurs sont à recalculer, et donc le travail de mise à jour prend du temps. 

La ville d’Issy-les-Moulineaux s’est donc lancée dans un premier projet de standardisation de données, avec comme objectif concret de construire des tableaux de bord partagés et actualisés automatiquement. 

Le but : faciliter la remontée des données, éviter les doublons de saisies, et permettre aux élus, aux agents et aux citoyens d’accéder en toute simplicité à des indicateurs détaillés sur les services de la ville. 
","Formation et ateliers avec les 7 services pilotes pour partager la stratégie et collecter des données


Prototypage des tableaux de bord avec les services

Cartographie des données à utiliser

Structuration, formatage et publication de 50 jeux de données qui alimentent les tableaux de bord

Rédaction d’un guide
méthodologique, publié sous la forme d’un billet de blog",2019-04-01,3 mois,https://data.issy.com/pages/tableaux-de-bord-issy/,,
analyse-respire,Analyse et publication de données,Data analyse,"sylvain-lapoix,joel-gombin,mathieu-morey","Sylvain Lapoix, Joël Gombin, Mathieu Morey","/images/authors/sylvain-lapoix.jpeg, /images/authors/joel-gombin.jpeg, /images/authors/mathieu-morey.jpeg",association-respire,Association Respire,"Respire est une association de citoyens, fondée en février 2011, dédiée à l’amélioration de la qualité de l’air
",/images/partners/association-respire.png,"Pour sensibiliser le grand public à l’exposition des plus jeunes à la pollution, Datactivist a accompagné Respire dans sa campagne: De l’air pour nos enfants”.

De l’audit de données à la publication des résultats en open data, l’équipe de Datactivist a assuré toutes les tâches liées à la donnée dans la production des supports de campagne :
- une base de données historique et géolocalisée de la qualité de l’air;
- une carte de la pollution aux abords des 12530 crèches, écoles, collèges et lycées d’Île-de-France sur 5 ans;
- un rapport synthétique à destination du public et des élu·e·s.
Résultat : une large reprise médiatique, des réactions politiques et des sollicitations d’associations de parents d’élèves pour faire progresser ce dossier auprès des pouvoirs publics.

","Audit de données 

Réalisation d’une cartographie de la pollution de l’air dans les écoles

Publication des données en open data

Production des supports de communication pour la campagne",2019-01-01,7 mois,,,
algo-mel,Accompagnement à l’ouverture d’algorithmes OpenAlgo,Stratégie,anne-laure-donzel,Anne-Laure Donzel,/images/authors/anne-laure-donzel.jpeg,metropole-lille,Métropole Européenne de Lille,"La Métropole Européenne de Lille regroupe 95 communes, et s'est engagée sur de nombreux chantiers autour de la donnée depuis 2016",/images/partners/metropole-lille.jpeg,"La MEL a souhaité mener une réflexion exploratoire sur l’ouverture de ses algorithmes publics : quels algorithmes ouvrir, avec quels moyens, comment les identifier au sein de la MEL… ?

Datactivist a accompagné la direction R&D de la Métropole européenne de Lille pour la création d’une méthodologie d’ouverture des algorithmes publics, afin de se conformer aux obligations de la loi Lemaire.

Le choix a été fait de se concentrer sur quelques algorithmes afin d’éprouver une méthodologie et de soulever toutes les questions et problématiques sur l’ouverture des algorithmes au sein d’une collectivité.","Identification, recensement et sélection des algorithmes de la MEL ;

Publication en ligne de trois algorithmes ; 

Association constante des services et cadre apprenant tout au long de la mission ;

Documentation de la méthodologie et création d’un commun sur la publication des algorithmes publics
",2022-04-01,9 mois,https://opendatacanvas.org/transparence-algo,experimentation-algo-lille,
hackathon-infrabel,Hackathon Infrabel,Hackathons,etienne-pichot-damon,Etienne Pichot Damon,/images/authors/etienne-pichot-damon.jpeg,infrabel,Infrabel,"Infrabel gère le réseau ferroviaire belge, et s'est lancé dans une démarche ambitieuse d'ouverture de données en 2018",/images/partners/infrabel.png,"Datactivist a accompagné le gestionnaire du réseau ferroviaire de la Belgique dans l’organisation de son premier hackathon, de A à Z, à l’occasion du lancement de leur portail open data. 

Le programme de la journée a été entièrement co-construit avec le client. 70 participants se sont réunis le 28 avril à Bruxelles, et ont pu découvrir des données inédites (notamment sur le thème des retards des trains). À l’issue de la journée, 10 groupes de participants ont présenté des prototypes d’applications, et des idées d’analyse de nouvelles données. 

Grâce à cette journée, Infrabel a aussi pu identifier de premiers utilisateurs de leurs données, provenant de différents secteurs et entreprises. Le hackathon aura été le premier événement de cette nouvelle communauté open data.

L’événement et ses résultats ont été largement relayés dans la presse locale et spécialisée.","Définition avec le client de la stratégie de l’événement et de ses objectifs


Définition d’un programme de la journée, avec les spécialistes métiers d’Infrabel


Sélection de mentors chez Infrabel pour animer des ateliers lors du hackathon


Accompagnement de la stratégie de communication externe


Recherche de participants dans les communauté transports et open data en Belgique


Animation de la journée, la coordination des différents groupes, aide à l’organisation logistique

",2019-03-01,3 mois,https://infrabel.be/fr/article/lancement-du-portail-open-data-loccasion-du-tout-premier-hackathon,check-list-hackathon,
hackathon-ademe,Hackathon Databât,Hackathons,"magalie-dartus,samuel-goeta","Magalie Dartus, Samuel Goëta","/images/authors/magalie-dartus.jpeg, /images/authors/samuel-goeta.jpeg",ademe,Ademe,"L’ADEME est un acteur engagé et reconnu de la transition écologique. Elle participe à la mise en œuvre des politiques publiques dans les domaines de l’environnement, de l’énergie et du développement durable. 
",/images/partners/ademe.png,"DataBât est un concours en distanciel construit sur le modèle d’un hackathon mais sur le temps long pour permettre de construire des projets matures autour de la rénovation des bâtiments. 

Pendant 5 mois, les participants devaient s’appuyer sur les données pour faire émerger de nouveaux services d’aide à la décision plus fine et de changement de comportement à l’égard de la rénovation énergétique, pour les particuliers mais aussi pour les entreprises ou les acteurs publics.

L’animation en distanciel sur un temps aussi long était un vrai défi. Le concours a ainsi été rythmé par différentes phases, épreuves et rendez-vous afin d’aider les participants à développer tous les aspects de leurs projets.
Neuf projets ont ainsi vu le jour, Six d’entre eux ont été récompensés par l’ADEME et ses partenaires pour aller vers la concrétisation.
","Structuration de l’événement, rédaction des sujets, du règlement, du programme des épreuves et autres temps forts ;

Conception d’un forum, d’un site web, d’un questionnaire de positionnement et d’un espace virtuel pour favoriser le travail d’équipe.

Création d’outils d’animation : documents et consignes d’épreuves, évaluations et récompense.

Constitution de la communauté et accompagnement : participants, coéquipiers, mentors et organisateurs.

Recherche, demandes et recueil des données des partenaires. Préparation et mise à disposition des données via une plateforme dédiée aux participants.

Animation et coordination des équipes en distanciel, de l’accueil à la restitution. Valorisation des projets et de l’événement.

",2020-07-01,11 mois,https://databat.ademe.fr/,check-list-hackathon,
challenge-sgl,Challenge data - Sciences-Po St-Germain-en-Laye,Hackathons,"clement-mandron,arthur-sarazin,maelle-fouquenet,sarah-bourgouin","Clément Mandron, Arthur Sarazin, Maëlle Fouquenet, Sarah Bourgouin","/images/authors/clement-mandron.png, /images/authors/arthur-sarazin.png, /images/authors/maelle-fouquenet.jpeg, /images/authors/sarah-bourgouin.png","anct,sciencespo-sgl","Agence Nationale de la Cohésion des Territoires, Sciences Po Saint-Gremain-en-Laye","L'ANCT est un établissement public qui accompagne les collectivités territoriales françaises, notamment en matière de numérique et d'ouverture des données locales., Les étudiants de Sciences Po Saint-Germain-en-Laye participent depuis plusieurs années au Challenge Data organisé par Datactvist et financé par l'ANCT","/images/partners/anct.svg, /images/partners/sciencespo-sgl.png","120 étudiants de Sciences Po Saint-Germain-en-Laye ont ouvert 76 jeux de données pour le compte de 19 collectivités. Ce résultat est le fruit d’une semaine de travail intense au cours de laquelle ils ont mis leurs connaissances et leur énergie au service de l’intérêt général dans le cadre du Challenge Data (qui en est maintenant à sa 4ème édition).

Chaque collectivité participante a été accompagnée par un groupe de 6 à 7 étudiants de 4e année de Sciences Po Saint-Germain-en-Laye en continu sur la semaine du Challenge Data. 

Les équipes d’étudiants regroupaient différentes compétences en mixant des étudiants venant de 4 spécialités différentes. Guidés par une méthodologie pas à pas, les étudiants ont pu effectuer 18 tâches nécessaires au travail d’ouverture et d’utilisation des données. La réalisation de chacune d’entre elles a été documentée, les expériences vécues inscrites dans des carnets de bord de manière à ce que toutes les collectivités puissent anticiper les freins à l’ouverture et trouver des solutions adéquates.

","Structuration de l’événement, de ses objectifs pédagogiques pour les étudiants et des étapes d’ouverture des données pour les collectivités ;

Conception, rédaction de la méthodologie pas à pas et choix des outils.

Choix des critères, recherche et sélection des collectivités participantes.

Mise en place d’un site web pour la documentation du challenge pour les étudiants, les collectivités participantes ou curieuses.

Conception d’un espace virtuel pour favoriser le travail d’équipe et les interactions entre étudiants, collectivités et experts.

Documentation de l’expérience et analyse des résultats. ",2023-12-01,2 mois,https://challengedata.org/about/,"organiser-sprint-data,check-list-hackathon",
challenge-rouen,Challenge data - Rouen-Normandie,Hackathons,"arthur-sarazin,anne-laure-donzel","Arthur Sarazin, Anne-Laure Donzel","/images/authors/arthur-sarazin.png, /images/authors/anne-laure-donzel.jpeg",metropole-rouen,Métropole Rouen-Normandie,La Métropole Rouen Normandie compte aujourd'hui 71 communes. la Métropole Rouen Normandie exerce 32 compétences et 7 compétences facultatives regroupées en 6 grandes thématiques. Elle s'est engagée dans l'open data depuis février 2021.,/images/partners/metropole-rouen-normandie.png,"Le Challenge Data métropolitain reprend les ingrédients clés du challenge data (une immersion dans la publication de données ouvertes) tout en s’adaptant aux contraintes et spécificités d’une collectivité. 

Il s’agit d’accompagner des équipes, dans le cas de la Métropole de Rouen Normandie elles venaient  des services et directions de la Métropole et des communes membres, dans l’ouverture de leurs données  et dans l’alimentation d’un portail open data.
Organisé autour d’un webinaire et de 4 demies journées, le challenge doit permettre aux participant·e·s d’apprendre en faisant et de comprendre les enjeux de l’ouverture des données par la pratique.

","
Animation d’un webinaire de présentation de la démarche et suivi des participants en amont du challenge


Animation de 4 ateliers d’ouverture de données : accompagnement des participants, temps collectifs…


Une trentaine de jeux de données ouverts à l’issu du challenge et publiés sur le portail open 

",2022-06-01,2 mois,,"organiser-sprint-data,check-list-hackathon",
conference-afd-geo,Conférence Africaine pour les Données Géospatiales,Hackathons,magalie-dartus,Magalie Dartus,/images/authors/magalie-dartus.jpeg,afd,Agence Française de Développement,L’Agence Française de Développement met en œuvre la politique nationale en matière de développement et de solidarité internationale,/images/partners/afd.jpg,"Datactivist a accompagné l’AFD dans l’organisation d’un premier hackathon à l’étranger, à l’occasion de la Conférence Africaine pour les Données Géospatiales. 

Dans le cadre de son engagement à soutenir l’innovation numérique en tant que nouvelle possibilité d’accélérer les axes de développement, l’AFD a souhaité organiser un hackathon de deux jours à Accra, au Ghana. L’objectif est d’encourager l’utilisation des nouvelles technologies pouvant être utilisés dans d’autres enjeux cruciaux tels que l’évolution de l’agriculture (notamment dans un contexte de réchauffement climatique). 

Le hackathon a permis de faire émerger des idées d’utilisation de données innovantes, que l’AFD renforcera par un accompagnement personnalisé pour les faire aboutir à un prototype.

Référent : 

","Structuration de l’événement, définition du programme et des temps forts ;


Mise en place d’outils collaboratifs (forum dédié) et d’une plateforme de communication sur l’événement ;

Création d’outils d’animation : kit participant, posters, fiche projet, parcours utilisateur, etc… ;


Accompagnement des intervenants sur leur rôle : mentors techniques, experts métier, membres du jury ;


Définition et préparation des données ;

Animation et coordination des équipes, de l’accueil à la remise des prix.

",2019-09-01,4 mois,,,
hackathon-amif,Hackathon des territoires,Hackathons,"arthur-sarazin,etienne-pichot-damon","Arthur Sarazin, Etienne Pichot Damon","/images/authors/arthur-sarazin.png, /images/authors/etienne-pichot-damon.jpeg",amif,Association des Maires d'Île de France,L’Association des Maires d’Île de France assure un rôle de représentation des élus locaux et participe au dynamisme régional.,/images/partners/amif.png,"Datactivist a accompagné l’AMIF dans l’organisation de son premier hackathon des territoires. Un événement qui a répondu aux défis du moment en se déroulant entièrement en ligne et en associant les forces pour travailler sur la gestion de crise.

Ce premier Hackathon Des Territoires avait pour objectifs de mettre à profit l’expérience de la crise sanitaire et de lancer une démarche pro-active de préparation à d’autres formes de crises. Un scénario évolutif a guidé les participants dans l’utilisation de données produites à la fois par les communes d’Ile-de-France pour l’occasion, de données mises à disposition par les partenaires du hackathon, et de données déjà publiées en open data.

Le hackathon a permi de créer ou de renforcer une synergie entre les différents acteurs du territoire et d’entamer une démarche d’ouverture des données pour les collectivités participantes.

Référent : 

","Structuration de l’événement, définition du sujet, du programme et des temps forts ;

Conception d’un forum, d’un espace virtuel et d’outil collaboratifs pour favoriser le travail d’équipe.

Création d’outils d’animation : scénario en temps réel, documents d’accompagnement, formations en temps réel.

Accompagnement des intervenants sur leur rôle : mentors techniques, experts métier, membres du jury ;


Définition et préparation des données avec les collectivités participantes.

Animation et coordination des équipes en distanciel, de l’accueil aux présentations devant le jury.

",2020-09-01,4 mois,https://amif.asso.fr/communiques-de-presse/hackathon-des-territoires-de-l-amif-une-1ere-edition-100-numerique/,check-list-hackathon,
hackathon-ditp,Hackathon Covid,Hackathons,"samuel-goeta,arthur-sarazin","Samuel Goëta, Arthur Sarazin","/images/authors/samuel-goeta.jpeg, /images/authors/arthur-sarazin.png",ditp,Direction Interministérielle de la Transformation publique ,"La Direction Interministérielle de la Transformation publique assure le suivi des réformes du gouvernement et accompagne les acteurs publics dans leurs projets.
",/images/partners/ditp.png,"Initié par des acteurs de la société civile et organisé avec le soutien de la Direction Interministérielle de la Transformation Publique dans le cadre du dispositif “gouvernement ouvert”, le Hackathon Covid, avait pour objectif de renforcer les outils et solutions mises à disposition des Français face à la pandémie.

Ce hackathon a mis autour de la table les institutions et les acteurs de la société civile engagés dans la lutte contre la pandémie. Pendant deux jours dans un espace virtuel, les participants ont pu initier de nouveaux projets, contribuer à leur développement, s’inspirer avec des retours d’expérience et rencontrer des acteurs mobilisés dans la lutte contre la pandémie. 

Seize projets sont ressortis de ce hackathon. Ils sont suivis par les administrations concernées qui les aide à émerger comme vaccino-quiz.fr par exemple.

","Structuration de l’événement, définition des sujets, du programme et des temps forts ;

Conception d’un forum, d’un site web, et d’un espace virtuel pour favoriser le travail d’équipe.

Création d’outils d’animation : documents collaboratifs, temps d’inspiration, temps d’accompagnement.

Constitution de la communauté et accompagnement : participants, mentors, intervenants.


Recherche, demandes, recueil et mise à disposition des données pour les participants

Animation et coordination des équipes en distanciel, de l’accueil à la restitution. Valorisation des projets et de l’événement.

",2021-04-01,3 mois,https://hackathon-covid.fr/restitution,check-list-hackathon,
